constituency_name,first_party,electorate,valid_votes,invalid_votes,turnout,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,IMDmean,declaration_time,urbn_pr
Liverpool West Derby,Lab,63651,41031,132,64.66984022246311,27367,2710,30842,959,3475,996,0,0,0,0,0,0,0,2049,42.2236271908409,08/05/2015 04:40,0
Loughborough,Con,75217,52020,210,69.43908956751798,9183,25762,16579,2130,5704,1845,0,0,0,0,0,0,0,0,9.905847539293,08/05/2015 06:09,60.7477769
Louth And Horncastle,Con,74870,50336,236,67.54641378389208,14977,25755,9077,2255,10778,1549,0,0,0,0,0,0,0,922,24.9724200783984,08/05/2015 07:35,0
Ludlow,Con,66374,48063,120,72.59318407810287,18929,26093,5902,6469,7164,2435,0,0,0,0,0,0,0,0,20.0024714941843,08/05/2015 03:37,0
Luton North,Lab,67329,42571,291,63.66053260853421,9504,12739,22243,1299,5318,972,0,0,0,0,0,0,0,0,22.1766360477336,08/05/2015 11:31,100
Luton South,Lab,67741,42216,431,62.95596462998775,5711,12949,18660,3183,5129,1237,0,0,0,0,0,0,0,1058,20.3575886131144,08/05/2015 12:14,94.6910755
Macclesfield,Con,71712,49598,248,69.50858991521642,14811,26063,11252,3842,6037,2404,0,0,0,0,0,0,0,0,10.6832239546898,08/05/2015 08:38,0
Maidenhead,Con,74187,53855,183,72.84025503120492,29059,35453,6394,5337,4539,1915,0,0,0,0,0,0,0,217,8.43373111944745,08/05/2015 06:04,63.4687574
Maidstone And The Weald,Con,73181,50010,111,68.48908869788606,10709,22745,5268,12036,7930,1396,0,0,0,0,0,0,0,635,15.097834528107,08/05/2015 06:04,69.6032455
Makerfield,Lab,74320,44788,131,60.43998923573736,13155,8752,23208,1639,10053,1136,0,0,0,0,0,0,0,0,25.5801971063552,08/05/2015 03:40,35.9950884
Maldon,Con,69066,48045,175,69.81727622853502,22070,29112,5690,2157,7042,1504,0,0,0,0,0,0,0,2540,15.9620388033276,08/05/2015 08:45,0.7167826
Manchester Central,Lab,86078,45331,229,52.9287390506285,21639,6133,27772,1867,5033,3838,0,0,0,0,0,0,0,688,46.9103046084207,08/05/2015 05:52,100
Manchester Gorton,Lab,72992,42019,275,57.943336256028054,24079,4063,28187,1782,3434,4108,0,0,0,0,0,0,0,445,41.5771156483559,08/05/2015 05:00,0
Manchester Withington,Lab,74102,49966,252,67.76875118080483,14873,4872,26843,11970,2172,4048,0,0,0,0,0,0,0,61,25.2559349213413,08/05/2015 05:28,0
Mansfield,Lab,77534,47193,136,61.042897309567415,5315,13288,18603,1642,11850,1486,0,0,0,0,0,0,0,324,30.5354302235421,08/05/2015 06:31,69.5909154
Meon Valley,Con,72738,51717,103,71.24199180620859,23913,31578,5656,4987,7665,1831,0,0,0,0,0,0,0,0,11.8561095123671,08/05/2015 08:44,0
Meriden,Con,81928,52603,161,64.40289034273997,18795,28791,9996,2638,8908,2170,0,0,0,0,0,0,0,100,12.916127915422,08/05/2015 06:37,76.1811131
Mid Bedfordshire,Con,78501,58060,228,74.2512834231411,23327,32544,9217,4193,8966,2462,0,0,0,0,0,0,0,678,11.0074557503787,08/05/2015 07:42,3.407808
Mid Derbyshire,Con,67477,47729,116,70.90564192243282,12774,24908,12134,2292,6497,1898,0,0,0,0,0,0,0,0,9.53930046618284,08/05/2015 04:35,46.228249
Mid Dorset And North Poole,Con,64299,46499,137,72.52989937635111,10530,23639,2767,13109,5663,1321,0,0,0,0,0,0,0,0,12.1591543362211,08/05/2015 07:26,56.0277243
Mid Norfolk,Con,77154,52212,239,67.98221738341499,17276,27206,9585,3300,9930,2191,0,0,0,0,0,0,0,0,17.9496789129271,08/05/2015 05:27,0
Mid Sussex,Con,81034,57492,252,71.25897771305871,24286,32268,7982,6604,6898,2453,0,0,0,0,0,0,0,1287,8.96119937530629,08/05/2015 07:12,0
Mid Worcestershire,Con,73069,52225,199,71.74588402742613,20532,29763,7548,3750,9231,1933,0,0,0,0,0,0,0,0,15.6983262644393,08/05/2015 05:47,0.3213432
Middlesbrough,Lab,61873,32706,174,53.141111631891135,12477,5388,18584,1220,6107,1407,0,0,0,0,0,0,0,0,45.8756195869914,08/05/2015 07:32,100
Middlesbrough South And East Cleveland,Lab,71154,45677,158,64.41661747758384,2268,16925,19193,1564,6935,1060,0,0,0,0,0,0,0,0,24.3990894981089,08/05/2015 06:47,46.8370038
Milton Keynes North,Con,86826,57692,213,66.69085297030844,9753,27244,17491,3575,6852,2255,0,0,0,0,0,0,0,275,12.3789560720294,08/05/2015 06:59,72.8311728
Milton Keynes South,Con,89656,58949,215,65.99000624609619,8672,27601,18929,2309,7803,1936,0,0,0,0,0,0,0,371,17.7965075075964,08/05/2015 06:31,65.1074872
Mitcham And Morden,Lab,68474,45142,147,66.14043286502907,16922,10458,27380,1378,4287,1422,0,0,0,0,0,0,0,217,19.8410553089163,08/05/2015 02:41,100
Mole Valley,Con,74038,55140,192,74.73459574812934,25453,33434,4565,7981,6181,2979,0,0,0,0,0,0,0,0,12.1614527254383,08/05/2015 04:40,0
Morecambe And Lunesdale,Con,66985,43242,143,64.76823169366276,4590,19691,15101,1612,5358,1395,0,0,0,0,0,0,0,85,14.9739132801293,08/05/2015 08:28,0
Morley And Outwood,Con,75820,48250,139,63.82089158533368,422,18776,18354,1426,7951,1264,0,0,0,0,0,0,0,479,19.4991054458414,08/05/2015 08:18,63.5675599
New Forest East,Con,72697,49447,184,68.27104282157448,19162,27819,6018,4626,8657,2327,0,0,0,0,0,0,0,0,17.1839800019229,08/05/2015 04:43,0
New Forest West,Con,68446,47410,190,69.54387400286357,20604,28420,5133,3293,7816,2748,0,0,0,0,0,0,0,0,15.5333514484217,08/05/2015 04:51,0
Newark,Con,73747,52302,165,71.14458893243115,18474,29834,11360,2385,6294,1792,0,0,0,0,0,0,0,637,14.8996663829232,08/05/2015 06:12,0
Newbury,Con,79512,57300,205,72.32241674212698,26368,34973,4837,8605,6195,2324,0,0,0,0,0,0,0,366,11.960982168643,08/05/2015 12:52,0
Newcastle-Under-Lyme,Lab,67619,42997,125,63.77201674085686,650,15870,16520,1826,7252,1246,0,0,0,0,0,0,0,283,14.7963475091861,08/05/2015 05:48,83.7264958
Newcastle Upon Tyne Central,Lab,58147,35085,97,60.50527112318779,12673,6628,19301,2218,5214,1724,0,0,0,0,0,0,0,0,37.4196922265566,08/05/2015 01:15,99.7506452
Newcastle Upon Tyne East,Lab,64243,39222,127,61.25025294584624,12494,6884,19378,4332,4910,3426,0,0,0,0,0,0,0,292,32.8604238464719,08/05/2015 01:04,100
Newcastle Upon Tyne North,Lab,67902,44891,155,66.33972489764662,10153,10536,20689,4366,7447,1515,0,0,0,0,0,0,0,338,20.4021110081091,08/05/2015 01:40,83.4214419
Newton Abbot,Con,69928,48253,200,69.28984097929299,11234,22794,4736,11560,6726,2216,0,0,0,0,0,0,0,221,13.8970399783906,08/05/2015 05:50,0
Normanton Pontefract And Castleford,Lab,82592,45897,183,55.79232855482371,15428,9569,25213,1330,9785,0,0,0,0,0,0,0,0,0,27.1901383532965,08/05/2015 05:16,0
North Cornwall,Con,67192,48245,45,71.86867484224312,6621,21689,2621,15068,6121,2063,0,0,0,0,0,0,0,683,23.9576616712427,08/05/2015 05:52,0
North Devon,Con,74737,52320,133,70.18344327441561,6936,22341,3699,15405,7719,3018,0,0,0,0,0,0,0,138,21.0389980959882,08/05/2015 06:51,0
North Dorset,Con,73759,53385,160,72.59453083691481,21118,30227,4785,6226,9109,3038,0,0,0,0,0,0,0,0,16.9968146098579,08/05/2015 07:39,0
North Durham,Lab,65359,40146,60,61.51562906409217,13644,8403,22047,2046,6404,1246,0,0,0,0,0,0,0,0,23.7810633707322,08/05/2015 03:08,0.3784005
North East Bedfordshire,Con,83551,58672,195,70.45636796687053,25644,34891,9247,3418,8579,2537,0,0,0,0,0,0,0,0,13.0245461708671,08/05/2015 09:37,4.6822097
North East Cambridgeshire,Con,82990,51780,226,62.66538137124955,16874,28524,7476,2314,11650,1816,0,0,0,0,0,0,0,0,23.3850698526341,08/05/2015 07:52,0
North East Derbyshire,Lab,71445,47948,147,67.31751697109665,1883,17605,19488,2004,7631,1059,0,0,0,0,0,0,0,161,15.8409253322401,08/05/2015 06:46,6.6127238
North East Hampshire,Con,76918,54000,198,70.46205049533269,29916,35573,5290,5657,4732,2364,0,0,0,0,0,0,0,384,10.5171407503811,08/05/2015 04:39,0.519695
North East Hertfordshire,Con,74000,52287,196,70.92297297297297,19080,28949,9869,3952,6728,2789,0,0,0,0,0,0,0,0,11.6255985991298,08/05/2015 03:24,0
North East Somerset,Con,69380,51110,153,73.88728740270972,12749,25439,12690,4029,6150,2802,0,0,0,0,0,0,0,0,10.7056965760062,08/05/2015 05:30,8.6687605
North Herefordshire,Con,67926,48023,190,70.9787121279039,19996,26716,5478,5768,6720,3341,0,0,0,0,0,0,0,0,18.900156101789,08/05/2015 05:04,2.6178953
North Norfolk,LD,68867,49414,136,71.95028097637474,4043,15256,5043,19299,8328,1488,0,0,0,0,0,0,0,0,22.0804443276746,08/05/2015 07:03,0
North Shropshire,Con,78858,52573,116,66.81503461918892,16494,27041,10547,3148,9262,2575,0,0,0,0,0,0,0,0,18.4207620257739,08/05/2015 03:45,0
North Somerset,Con,80161,58942,220,73.80396951135839,23099,31540,8441,7486,7669,3806,0,0,0,0,0,0,0,0,9.4714030430996,08/05/2015 07:34,0
North Swindon,Con,80983,52242,148,64.69258980279811,11786,26295,14509,1704,8011,1723,0,0,0,0,0,0,0,0,12.2853209387683,08/05/2015 00:46,88.6351385
North Thanet,Con,71478,47053,161,66.05389070763033,10948,23045,8411,1645,12097,1719,0,0,0,0,0,0,0,136,21.1557944063497,08/05/2015 10:04,46.8238082
North Tyneside,Lab,79300,46818,137,59.21185372005044,17194,8997,26191,2075,7618,1442,0,0,0,0,0,0,0,495,24.715952559569,08/05/2015 04:59,8.4988484
North Warwickshire,Con,70152,47377,137,67.7300718439959,2973,20042,17069,978,8256,894,0,0,0,0,0,0,0,138,17.9822905281865,08/05/2015 03:06,7.926397
North West Cambridgeshire,Con,90318,61100,180,67.84915520715693,19795,32070,10927,3479,12275,2159,0,0,0,0,0,0,0,190,13.8239951854753,08/05/2015 05:19,47.4811532
North West Durham,Lab,69816,42818,94,61.46442076314885,10056,10018,20074,3894,7265,1567,0,0,0,0,0,0,0,0,19.7926998746034,08/05/2015 03:09,0
North West Hampshire,Con,79223,55195,200,69.92287593249435,23943,32052,7342,5151,8109,2541,0,0,0,0,0,0,0,0,11.8055821321827,08/05/2015 05:02,0
North West Leicestershire,Con,72193,51548,170,71.63852451068664,11373,25505,14132,2033,8704,1174,0,0,0,0,0,0,0,0,13.5878214740972,08/05/2015 04:55,0
North West Norfolk,Con,74402,47371,226,63.97274266820785,13948,24727,10779,1673,8412,1780,0,0,0,0,0,0,0,0,23.2329979146787,08/05/2015 08:00,0
North Wiltshire,Con,67851,50556,111,74.67391784940531,21046,28938,4930,7892,5813,2350,0,0,0,0,0,0,0,633,11.7461198199389,08/05/2015 05:00,0.2943238
Northampton North,Con,59144,39411,112,66.82503719734885,3245,16699,13454,1401,6354,1503,0,0,0,0,0,0,0,0,23.5295501053333,08/05/2015 05:03,100
Northampton South,Con,61287,38884,161,63.708453668804154,3793,16163,12370,1673,7114,1403,0,0,0,0,0,0,0,161,29.5735360538582,08/05/2015 05:07,100
Norwich North,Con,64515,43592,173,67.83693714640006,4463,19052,14589,1894,5986,1939,0,0,0,0,0,0,0,132,16.8024036315492,08/05/2015 07:55,100
Norwich South,Lab,74875,48463,177,64.96160267111854,7654,11379,19033,6607,4539,6749,0,0,0,0,0,0,0,156,21.5487773534728,08/05/2015 05:17,100
Nottingham East,Lab,60464,35209,253,58.649775072770574,11894,7314,19208,1475,3501,3473,0,0,0,0,0,0,0,238,34.3686182343181,08/05/2015 06:42,97.7857083
Nottingham North,Lab,65918,35343,22,53.64998938074578,11860,7423,19283,847,6542,1088,0,0,0,0,0,0,0,160,43.2183521606502,08/05/2015 06:35,100
Nottingham South,Lab,68987,43465,234,63.34381840056822,6936,13761,20697,1532,4900,2345,0,0,0,0,0,0,0,230,23.705269250896,08/05/2015 06:23,76.0638799
Nuneaton,Con,68037,45749,75,67.35158810647148,4882,20827,15945,816,6582,1281,0,0,0,0,0,0,0,298,21.15319760398,08/05/2015 01:51,94.9874524
Old Bexley And Sidcup,Con,66035,46748,105,70.95176800181721,15803,24682,8879,1644,8528,1336,0,0,0,0,0,0,0,1679,14.1339044475935,08/05/2015 04:34,99.8098625
Oldham East And Saddleworth,Lab,71475,44483,178,62.48478488982162,6002,11527,17529,5718,8557,1152,0,0,0,0,0,0,0,0,16.1067871369749,08/05/2015 05:37,50.2126805
Oldham West And Royton,Lab,71652,43137,202,60.48540166359627,14738,8187,23630,1589,8892,839,0,0,0,0,0,0,0,0,29.4914941507227,08/05/2015 04:53,47.2713247
Orpington,Con,68129,49032,94,72.1073258083929,19979,28152,7645,3330,8173,1732,0,0,0,0,0,0,0,0,14.8501797060995,08/05/2015 04:38,95.4995588
Oxford East,Lab,78978,50689,165,64.3900833143407,15280,10076,25356,5453,3451,5890,0,0,0,0,0,0,0,463,16.884259055896,08/05/2015 02:10,100
Oxford West And Abingdon,Con,76174,57247,153,75.3537952582246,9582,26153,7274,16571,3963,2497,0,0,0,0,0,0,0,789,8.10036739839786,08/05/2015 06:46,36.1601073
Pendle,Con,64573,44448,198,69.14035277902529,5453,20978,15525,1487,5415,1043,0,0,0,0,0,0,0,0,15.0234952226598,08/05/2015 04:54,0
Penistone And Stocksbridge,Lab,70817,46854,206,66.45297033198243,6723,12968,19691,2957,10738,0,0,0,0,0,0,0,0,500,13.5547913169076,08/05/2015 05:59,19.2214303
Penrith And The Border,Con,65209,43921,143,67.57349445628671,19894,26202,6308,3745,5353,2313,0,0,0,0,0,0,0,0,18.3928477368877,08/05/2015 05:49,0.5786812
Peterborough,Con,72530,47075,177,65.14821453191783,1925,18684,16759,1774,7485,1218,0,0,0,0,0,0,0,1155,25.8552067200385,08/05/2015 02:49,90.9969867
Plymouth Moor View,Con,68246,42606,85,62.55458195352108,1026,16020,14994,1265,9152,1023,0,0,0,0,0,0,0,152,27.1866441815657,08/05/2015 05:32,0
Plymouth Sutton And Devonport,Con,73274,47963,157,65.67131588285066,523,18120,17597,2008,6731,3401,0,0,0,0,0,0,0,106,31.7790194761406,08/05/2015 07:31,0
Poole,Con,72557,47393,138,65.50849676805821,15789,23745,6102,5572,7956,2198,0,0,0,0,0,0,0,1820,14.8119664280207,08/05/2015 06:52,100
Poplar And Limehouse,Lab,82081,51044,202,62.433449884869816,16924,12962,29886,2149,3128,2463,0,0,0,0,0,0,0,456,24.9369723355329,08/05/2015 05:00,100
Portsmouth North,Con,73105,45390,157,62.30353600984885,10537,21343,10806,2828,8660,1450,0,0,0,0,0,0,0,303,22.5709302074769,08/05/2015 06:17,100
Portsmouth South,Con,71639,41903,185,58.750122140175044,5241,14585,8184,9344,5595,3145,0,0,0,0,0,0,0,1050,28.5676765161402,08/05/2015 06:11,100
Preston,Lab,59981,33469,140,56.03274370217235,12067,6688,18755,1244,5139,1643,0,0,0,0,0,0,0,0,39.0553299848157,08/05/2015 04:48,91.046723600000007
Pudsey,Con,70533,50927,134,72.39306423943403,4501,23637,19136,1926,4689,1539,0,0,0,0,0,0,0,0,12.3932277180574,08/05/2015 07:24,14.3512
Putney,Con,63923,42813,115,67.15579681804671,10180,23018,12838,2717,1989,2067,0,0,0,0,0,0,0,184,16.6763956100821,08/05/2015 00:55,100
Rayleigh And Wickford,Con,77174,53220,136,69.13727421152201,17230,29088,6705,1622,11858,1529,0,0,0,0,0,0,0,2418,14.6204385466447,08/05/2015 04:44,11.5860685
Reading East,Con,73232,50494,191,69.21154686475857,6520,23217,16697,3719,3647,3214,0,0,0,0,0,0,0,0,12.3115566194672,08/05/2015 07:33,83.0942695
Reading West,Con,72567,48404,119,66.86648200972894,6650,23082,16432,2355,4826,1406,0,0,0,0,0,0,0,303,13.5665995852997,08/05/2015 07:23,93.699591
Redcar,Lab,64826,40919,163,63.37272082189245,10388,6630,17946,7558,7516,880,0,0,0,0,0,0,0,389,31.382047633867,08/05/2015 03:38,42.9107527
Redditch,Con,65531,44098,124,67.48256550334956,7054,20771,13717,1349,7133,960,0,0,0,0,0,0,0,168,14.7958371688029,08/05/2015 06:05,91.3987041
Reigate,Con,73429,51349,165,70.15484345422108,22334,29151,6578,5369,6817,3434,0,0,0,0,0,0,0,0,10.7783895671918,08/05/2015 04:36,5.728974
Ribble Valley,Con,77379,52243,168,67.7328474133809,13606,25404,11798,2756,8250,2193,0,0,0,0,0,0,0,1842,13.7132283799612,08/05/2015 05:27,37.8461414
Richmond Park,Con,77303,59101,146,76.64256238438352,23015,34404,7296,11389,2464,3548,0,0,0,0,0,0,0,0,9.84287725202263,08/05/2015 04:07,100
Richmond Yorks,Con,79062,53999,164,68.50699451063721,19550,27744,7124,3465,8194,2313,0,0,0,0,0,0,0,5159,13.6010458484167,08/05/2015 07:39,0
Rochdale,Lab,77248,45430,240,59.121271748135875,12442,7742,20961,4667,8519,1382,0,0,0,0,0,0,0,2159,25.5744304258372,08/05/2015 04:05,73.9621304
Rochester And Strood,Con,77119,52516,164,68.31001439334015,7133,23142,10396,1251,16009,1516,0,0,0,0,0,0,0,202,19.761525042613,08/05/2015 08:11,74.1378087
Rochford And Southend East,Con,71935,43608,164,60.84937791061375,9476,20241,10765,1459,8948,2195,0,0,0,0,0,0,0,0,19.779157264073,08/05/2015 03:23,84.9572255
Romford,Con,72594,49178,159,67.96291704548585,13859,25067,10268,1413,11208,1222,0,0,0,0,0,0,0,0,18.2629547119141,08/05/2015 05:20,100
Romsey And Southampton North,Con,66519,48398,141,72.97012883537035,17712,26285,5749,8573,5511,2280,0,0,0,0,0,0,0,0,12.5169931011187,08/05/2015 05:57,48.2076569
Rossendale And Darwen,Con,73779,49024,140,66.63684788354409,5654,22847,17193,806,6862,1046,0,0,0,0,0,0,0,270,16.5376612936279,08/05/2015 04:37,5.7288997
Rother Valley,Lab,74275,47019,195,63.566475934028944,7297,10945,20501,1992,13204,0,0,0,0,0,0,0,0,377,22.2957387474203,08/05/2015 05:03,19.7907241
Rotherham,Lab,63698,37823,153,59.618826336776664,8446,4656,19860,1093,11414,0,0,0,0,0,0,0,0,800,31.887139656747,08/05/2015 03:38,92.0770545
Rugby,Con,71655,49006,93,68.52138720256787,10345,24040,13695,2776,6855,1415,0,0,0,0,0,0,0,225,14.5529001108841,08/05/2015 06:14,72.7840722
Ruislip Northwood And Pinner,Con,73216,51222,159,70.17728365384616,20224,30521,10297,2537,5598,1801,0,0,0,0,0,0,0,468,13.1986378775856,08/05/2015 06:10,0
Runnymede And Weybridge,Con,73771,50052,182,68.09450868227353,22134,29901,7767,3362,6951,2071,0,0,0,0,0,0,0,0,10.6094333940861,08/05/2015 04:43,9.4477974
Rushcliffe,Con,73278,55164,289,75.67482736974263,13829,28354,14525,2783,5943,3559,0,0,0,0,0,0,0,0,8.12025077362512,08/05/2015 06:52,0
Rutland And Melton,Con,79693,54603,214,68.78521325586941,21705,30383,8383,4407,8678,2325,0,0,0,0,0,0,0,427,11.9853139859086,08/05/2015 06:15,5.4905874
Saffron Walden,Con,80615,57563,219,71.6764870061403,24991,32926,6791,6079,7935,2174,0,0,0,0,0,0,0,1658,11.3349789493573,08/05/2015 06:02,4.757698
Salford And Eccles,Lab,74291,43261,201,58.50237579249169,12541,8823,21364,1614,7806,2251,0,0,0,0,0,0,0,1403,35.0782283873279,08/05/2015 05:33,71.289177
Salisbury,Con,69582,50705,68,72.96858382915121,20421,28192,7771,5099,6152,2762,0,0,0,0,0,0,0,729,13.2748732926857,08/05/2015 03:47,0
Scarborough And Whitby,Con,73511,47739,186,65.19432465889459,6200,20613,14413,2159,8162,2185,0,0,0,0,0,0,0,207,18.7464357579561,08/05/2015 05:23,63.5351311
Scunthorpe,Lab,64025,36941,133,57.90550566185084,3134,12259,15393,770,6329,887,0,0,0,0,0,0,0,1303,18.8490234419081,08/05/2015 04:50,86.0663092
Sedgefield,Lab,62844,38716,96,61.75927693972376,6843,11432,18275,1370,6426,1213,0,0,0,0,0,0,0,0,18.3440857907127,08/05/2015 03:47,1.4580888
Sefton Central,Lab,67744,49021,200,72.65735710911667,11846,14513,26359,2086,4879,1184,0,0,0,0,0,0,0,0,17.0736283745271,08/05/2015 05:54,7.5403414
Selby And Ainsty,Con,76082,52804,172,69.63013590599616,13557,27725,14168,1920,7389,1465,0,0,0,0,0,0,0,137,10.9036639731408,08/05/2015 06:06,0
Sevenoaks,Con,71958,50124,231,69.97832068706745,19561,28531,6448,3937,8970,2238,0,0,0,0,0,0,0,0,12.0577197383581,08/05/2015 04:58,0
Sheffield Brightside And Hillsborough,Lab,70874,40053,149,56.72319891638683,13807,4407,22663,1802,8856,1712,0,0,0,0,0,0,0,613,42.5398139328792,08/05/2015 05:29,0
Sheffield Central,Lab,72321,44173,199,61.35424012389209,17309,4917,24308,4278,3296,6999,0,0,0,0,0,0,0,375,27.8772016384142,08/05/2015 05:04,100
Sheffield Hallam,LD,72351,55481,121,76.85035452170668,2353,7544,19862,22215,3575,1772,0,0,0,0,0,0,0,513,9.55890599027197,08/05/2015 04:52,0
Sheffield Heeley,Lab,67950,42048,131,62.07358351729213,12954,6792,20269,4746,7315,2566,0,0,0,0,0,0,0,360,27.9578484405171,08/05/2015 05:16,0
Sheffield South East,Lab,70422,41685,108,59.34651103348385,12311,7242,21439,2226,9128,1117,0,0,0,0,0,0,0,533,31.5295273565779,08/05/2015 05:21,99.5618495
Sherwood,Con,73349,50698,127,69.29201488772853,4647,22833,18186,1094,7399,1108,0,0,0,0,0,0,0,78,17.4452432597298,08/05/2015 06:01,6.9286946
Shipley,Con,70464,50542,120,71.89770663033606,9624,25269,15645,1949,4479,2657,0,0,0,0,0,0,0,543,14.8134090219546,08/05/2015 07:10,3.9988741
Shrewsbury And Atcham,Con,76400,54102,113,70.96204188481676,9565,24628,15063,4268,7813,2247,0,0,0,0,0,0,0,83,17.3427974624611,08/05/2015 03:47,70.0488495
Sittingbourne And Sheppey,Con,76018,49378,167,65.17535320581968,12168,24425,9673,1563,12257,1185,0,0,0,0,0,0,0,275,31.2571867202305,08/05/2015 07:35,0.387843
