constituency_name,first_party,electorate,valid_votes,invalid_votes,turnout,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,IMDmean,declaration_time,urbn_pr
Skipton And Ripon,Con,76645,54559,199,71.44366886293952,20761,30248,9487,4057,7651,3116,0,0,0,0,0,0,0,0,13.3825336925335,08/05/2015 05:49,0
Sleaford And North Hykeham,Con,87972,61944,225,70.66907652434867,24115,34805,10690,3500,9716,0,0,0,0,0,0,0,0,3233,13.8259308668916,08/05/2015 05:24,2.0924741
Slough,Lab,86366,48275,260,56.19688303267489,7336,16085,23421,1275,6274,1220,0,0,0,0,0,0,0,0,21.392376809053,08/05/2015 05:17,100
Solihull,Con,77956,54779,140,70.44871465955154,12902,26956,5693,14054,6361,1632,0,0,0,0,0,0,0,83,12.0292326581669,08/05/2015 05:53,100
Somerton And Frome,Con,83281,60309,168,72.61800410657892,20268,31960,4419,11692,6439,5434,0,0,0,0,0,0,0,365,15.9294791802525,08/05/2015 05:37,0
South Basildon And East Thurrock,Con,71155,45593,106,64.22458014194365,7691,19788,11493,1356,12097,0,0,0,0,0,0,0,0,859,17.6185735619891,08/05/2015 04:06,55.7281788
South Cambridgeshire,Con,84132,61540,259,73.4548091094946,20594,31454,10860,9368,6010,3848,0,0,0,0,0,0,0,0,10.3075704908561,08/05/2015 05:02,15.6461997
South Derbyshire,Con,73923,50762,190,68.92577411631021,11471,25066,13595,1887,8998,1216,0,0,0,0,0,0,0,0,12.7202609422661,08/05/2015 03:53,7.6414775
South Dorset,Con,71534,48597,140,68.1312382922806,11994,23756,11762,2901,7304,2275,0,0,0,0,0,0,0,599,17.2557871378577,08/05/2015 06:48,0
South East Cambridgeshire,Con,84570,59506,203,70.60305072720823,16837,28845,9013,12008,6593,3047,0,0,0,0,0,0,0,0,11.6081909256455,08/05/2015 06:33,12.9040602
South East Cornwall,Con,71071,50498,78,71.16264017672468,16995,25516,4692,8521,7698,2718,0,0,0,0,0,0,0,1353,23.5277197497424,08/05/2015 06:42,0
South Holland And The Deepings,Con,76460,49207,160,64.56578603191211,18567,29303,6122,1466,10736,1580,0,0,0,0,0,0,0,0,20.8565036093818,08/05/2015 04:40,0
South Leicestershire,Con,76851,53926,300,70.5599146400177,16824,28700,11876,3987,9363,0,0,0,0,0,0,0,0,0,9.92901136202178,08/05/2015 07:17,22.4796373
South Norfolk,Con,80721,57123,221,71.03975421513609,20493,30995,10502,4689,7847,3090,0,0,0,0,0,0,0,0,15.8545775406033,08/05/2015 04:34,2.9520155
South Northamptonshire,Con,85781,60862,187,71.16844056376121,26416,36607,10191,3613,8204,2247,0,0,0,0,0,0,0,0,9.14780285010325,08/05/2015 07:07,29.2360123
South Ribble,Con,76489,52370,162,68.67915648001673,5945,24313,18368,2312,7377,0,0,0,0,0,0,0,0,0,11.6259307379707,08/05/2015 06:02,23.054789800000002
South Shields,Lab,62730,36265,81,57.94037940379404,10614,6021,18589,639,7975,1614,0,0,0,0,0,0,0,1427,28.2656401408802,08/05/2015 02:34,89.3779145
South Staffordshire,Con,72771,49598,153,68.36651963007242,20371,29478,9107,1448,8267,1298,0,0,0,0,0,0,0,0,12.6637482415164,08/05/2015 06:35,19.5391715
South Suffolk,Con,73836,51907,179,70.54282463838778,17545,27546,10001,4044,7897,2253,0,0,0,0,0,0,0,166,13.9414841785321,08/05/2015 07:18,5.1767245
South Swindon,Con,73926,49263,147,66.83710737764792,5785,22777,16992,1817,5920,1757,0,0,0,0,0,0,0,0,11.1261060155362,08/05/2015 02:41,85.0136495
South Thanet,Con,70970,49401,163,69.83795970128224,2812,18838,11740,932,16026,1076,0,0,0,0,0,0,0,789,18.2867454165095,08/05/2015 10:45,18.4806819
South West Bedfordshire,Con,79285,51304,244,65.016081225957,17813,28212,10399,2646,7941,2106,0,0,0,0,0,0,0,0,16.6200863843971,08/05/2015 08:32,6.2253764
South West Devon,Con,71035,50372,122,71.08326881114944,20109,28500,8391,3767,7306,2408,0,0,0,0,0,0,0,0,14.4798910388065,08/05/2015 07:53,37.0803391
South West Hertfordshire,Con,79668,57267,174,72.10046693779184,23263,32608,9345,5872,6603,2583,0,0,0,0,0,0,0,256,7.03811787362999,08/05/2015 04:38,13.7981092
South West Norfolk,Con,76970,50110,192,65.35273483175263,13861,25515,8649,2217,11654,2075,0,0,0,0,0,0,0,0,22.1716024086502,08/05/2015 08:08,0
South West Surrey,Con,77548,57119,247,73.97482849332026,28556,34199,5415,3586,5643,3105,0,0,0,0,0,0,0,5171,8.73858722272309,08/05/2015 06:46,0
South West Wiltshire,Con,73018,51643,108,70.87430496589882,18168,27198,6948,5482,9030,2985,0,0,0,0,0,0,0,0,16.3482312876607,08/05/2015 03:48,0
Southampton Itchen,Con,72281,44710,115,62.014914016131485,2316,18656,16340,1595,6010,1876,0,0,0,0,0,0,0,233,26.0401145996304,08/05/2015 04:58,0
Southampton Test,Lab,70270,43652,147,62.32958588302263,3810,14207,18017,2121,5566,2568,0,0,0,0,0,0,0,1173,27.341461265189,08/05/2015 05:01,0
Southend West,Con,66876,44509,145,66.77133799868413,14021,22175,8154,4129,7803,2083,0,0,0,0,0,0,0,165,15.3735124649693,08/05/2015 03:12,100
Southport,LD,67326,44101,171,65.75765677450019,1322,12330,8468,13652,7429,1230,0,0,0,0,0,0,0,992,21.1698828065206,08/05/2015 04:41,100
Spelthorne,Con,71592,49079,191,68.82053860766565,14152,24386,9114,3163,10234,1724,0,0,0,0,0,0,0,458,15.501594933985,08/05/2015 07:25,45.2700653
St Albans,Con,75825,54433,156,71.99340586877679,12732,25392,12660,10076,4271,2034,0,0,0,0,0,0,0,0,10.6841455842816,08/05/2015 05:30,86.7996414
St Austell And Newquay,Con,76607,50361,95,65.86343284556241,8173,20250,5150,12077,8503,2318,0,0,0,0,0,0,0,2063,22.2088009296205,08/05/2015 07:11,0
St Helens North,Lab,75262,46256,192,61.71507533682337,17291,9087,26378,2046,6983,1762,0,0,0,0,0,0,0,0,21.5656419694743,08/05/2015 04:42,40.3643865
St Helens South And Whiston,Lab,77720,48397,171,62.49099330931549,21243,7707,28950,2737,6766,2237,0,0,0,0,0,0,0,0,29.7665587037414,08/05/2015 03:50,64.3042856
St Ives,Con,65570,48312,78,73.79899344212292,2469,18491,4510,16022,5720,3051,0,0,0,0,0,0,0,518,22.9083419468985,08/05/2015 15:26,0
Stafford,Con,68705,48767,173,71.23207917909905,9177,23606,14429,1348,6293,1390,0,0,0,0,0,0,0,1701,12.2844917382285,08/05/2015 07:03,72.2383111
Staffordshire Moorlands,Con,63104,42587,126,67.68667596348884,10174,21770,11596,1759,6236,1226,0,0,0,0,0,0,0,0,17.3170035355421,08/05/2015 06:25,15.1273479
Stalybridge And Hyde,Lab,71357,41034,201,57.786902476281234,6686,11761,18447,1256,7720,1850,0,0,0,0,0,0,0,0,28.8119344302586,08/05/2015 08:46,0
Stevenage,Con,70597,47799,127,67.88673739677323,4955,21291,16336,1582,6864,1369,0,0,0,0,0,0,0,357,12.5065728210956,08/05/2015 04:38,89.3633397
Stockport,Lab,63931,39649,135,62.2295912780967,10061,9710,19771,3034,5206,1753,0,0,0,0,0,0,0,175,32.3801558271783,08/05/2015 05:52,91.5670411
Stockton North,Lab,66126,39571,212,60.16241720352055,8367,11069,19436,884,7581,0,0,0,0,0,0,0,0,601,24.2215848223368,08/05/2015 03:42,53.898097
Stockton South,Con,75111,51797,147,69.15631531999308,5046,24221,19175,1366,5480,952,0,0,0,0,0,0,0,603,13.9251699365168,08/05/2015 04:32,32.9472517
Stoke-On-Trent Central,Lab,60634,31084,150,51.512352805356734,5179,7008,12220,1296,7041,1123,0,0,0,0,0,0,0,2396,37.2042085758748,08/05/2015 06:06,100
Stoke-On-Trent North,Lab,71438,38654,168,54.34362664128335,4836,10593,15429,1137,9542,1091,0,0,0,0,0,0,0,862,30.5744552021353,08/05/2015 08:45,78.5136958
Stoke-On-Trent South,Lab,68091,39107,159,57.66694570501241,2539,12780,15319,1309,8298,1029,0,0,0,0,0,0,0,372,27.8398967636349,08/05/2015 09:00,100
Stone,Con,67339,47031,138,70.04707524614265,16250,25733,9483,2473,7620,1191,0,0,0,0,0,0,0,531,13.1716098240294,08/05/2015 07:55,12.2347359
Stourbridge,Con,69077,46029,103,66.78344456186575,6694,21195,14501,1538,7774,1021,0,0,0,0,0,0,0,0,19.0873004250966,08/05/2015 05:09,70.6715237
Stratford-On-Avon,Con,71304,51459,157,72.3886457982722,22876,29674,6677,6182,6798,2128,0,0,0,0,0,0,0,0,12.1169003069516,08/05/2015 05:13,0
Streatham,Lab,79137,49933,155,63.29277076462338,13934,12540,26474,4491,1602,4421,0,0,0,0,0,0,0,405,22.4296518266201,08/05/2015 03:15,100
Stretford And Urmston,Lab,69026,46386,183,67.46588242111669,11685,12916,24601,1362,5068,2187,0,0,0,0,0,0,0,252,24.4247900925623,08/05/2015 06:09,22.349839
Stroud,Con,80544,60819,121,75.66050854191498,4866,27813,22947,2086,4848,2779,0,0,0,0,0,0,0,346,9.97886622071353,08/05/2015 03:51,6.1450099
Suffolk Coastal,Con,77816,55594,168,71.65878482574279,18842,28855,10013,4777,8655,3294,0,0,0,0,0,0,0,0,18.3889495178057,08/05/2015 06:52,2.0963229
Sunderland Central,Lab,72950,41762,166,57.47498286497601,11179,9780,20959,1105,7997,1706,0,0,0,0,0,0,0,215,31.2850717902184,07/05/2015 23:16,100
Surrey Heath,Con,79515,54431,252,68.7706722002138,24804,32582,6100,4937,7778,2400,0,0,0,0,0,0,0,634,7.65972261441039,08/05/2015 07:33,14.6779904
Sutton And Cheam,Con,69228,49905,116,72.2554457733865,3921,20732,5546,16811,5341,1051,0,0,0,0,0,0,0,424,9.25929470165916,08/05/2015 04:35,100
Sutton Coldfield,Con,74956,50854,173,68.07593788355835,16417,27782,11365,2627,7489,1426,0,0,0,0,0,0,0,165,14.1502209905547,08/05/2015 04:50,99.4407135
Tamworth,Con,71913,47174,105,65.74471931361506,11302,23606,12304,1427,8727,1110,0,0,0,0,0,0,0,0,13.8233093516915,08/05/2015 04:37,79.8695198
Tatton,Con,65004,45298,185,69.96954033597932,18241,26552,8311,3850,4871,1714,0,0,0,0,0,0,0,0,13.3532623777501,08/05/2015 07:04,0
Taunton Deane,Con,83221,57887,158,69.74802033140674,15491,27849,5347,12358,6921,2630,0,0,0,0,0,0,0,2782,15.4967602176019,08/05/2015 07:09,53.6216076
Telford,Con,66166,40645,214,61.75225946860926,730,16094,15364,927,7330,930,0,0,0,0,0,0,0,0,25.6892332444355,08/05/2015 04:41,97.4150509
Tewkesbury,Con,78910,55344,192,70.37891268533772,21972,30176,8204,7629,7128,2207,0,0,0,0,0,0,0,0,11.641516740932,08/05/2015 07:30,30.666501
The Cotswolds,Con,78290,56667,197,72.63252011751182,21477,32045,5240,10568,6188,2626,0,0,0,0,0,0,0,0,12.2532078510412,08/05/2015 12:36,0
The Wrekin,Con,65942,45437,206,69.21688756786267,10743,22579,11836,1959,7620,1443,0,0,0,0,0,0,0,0,13.3556250615152,08/05/2015 04:35,58.7705698
Thirsk And Malton,Con,77451,52365,170,67.82998282785245,19456,27545,8089,4703,7805,2404,0,0,0,0,0,0,0,1819,16.3854253268416,08/05/2015 07:18,0
Thornbury And Yate,Con,66066,48570,163,73.76411467320558,1495,19924,3775,18429,5126,1316,0,0,0,0,0,0,0,0,12.8874275561602,08/05/2015 05:39,0
Thurrock,Con,77559,49564,126,64.06735517477019,536,16692,16156,644,15718,0,0,0,0,0,0,0,0,354,26.2843366730344,08/05/2015 05:08,57.7423516
Tiverton And Honiton,Con,76270,53763,378,70.98597089288056,20173,29030,6835,5626,8857,3415,0,0,0,0,0,0,0,0,15.7875511524231,08/05/2015 07:54,0
Tonbridge And Malling,Con,74877,53670,162,71.8939060058496,23734,31887,7604,3660,8153,2366,0,0,0,0,0,0,0,0,13.0913224155327,08/05/2015 05:40,0
Tooting,Lab,76782,53529,212,69.99166471308381,2842,22421,25263,2107,1537,2201,0,0,0,0,0,0,0,0,17.0679224647325,08/05/2015 01:12,100
Torbay,Con,76350,48079,135,63.1486574983628,3286,19551,4166,16265,6540,1557,0,0,0,0,0,0,0,0,23.5716804129178,08/05/2015 04:39,49.2771753
Torridge And West Devon,Con,78621,56584,202,72.22752190890475,18403,28774,6015,7483,10371,3941,0,0,0,0,0,0,0,0,22.8776746302215,08/05/2015 10:52,0
Totnes,Con,68630,47097,170,68.87221331779105,18285,24941,5988,4667,6656,4845,0,0,0,0,0,0,0,0,17.2624059570216,08/05/2015 05:52,20.488441
Tottenham,Lab,70803,42558,213,60.4084572687598,23564,5090,28654,1756,1512,3931,0,0,0,0,0,0,0,1615,34.9350705012469,08/05/2015 03:13,100
Truro And Falmouth,Con,73601,51544,78,70.13763399953805,14000,22681,7814,8681,5967,4483,0,0,0,0,0,0,0,1918,20.0129884551798,08/05/2015 07:10,0
Tunbridge Wells,Con,73429,51428,165,70.26243037491999,22874,30181,7307,4342,6481,2659,0,0,0,0,0,0,0,458,11.9395044253607,08/05/2015 05:03,0
Twickenham,Con,80250,62004,122,77.41557632398754,2017,25580,7129,23563,3069,2463,0,0,0,0,0,0,0,200,9.63178147306505,08/05/2015 04:45,99.5637729
Tynemouth,Lab,77524,53495,126,69.16696764872813,8240,17551,25791,1595,6541,2017,0,0,0,0,0,0,0,0,16.2402535307575,08/05/2015 05:09,61.3934097
Uxbridge And South Ruislip,Con,70631,44811,103,63.58964194192352,10695,22511,11816,2215,6346,1414,0,0,0,0,0,0,0,509,15.5010812297463,08/05/2015 04:35,100
Vauxhall,Lab,82231,47941,234,58.584961875691654,12708,13070,25778,3312,1385,3658,0,0,0,0,0,0,0,738,27.4035058414235,08/05/2015 03:28,100
Wakefield,Lab,70521,42973,106,61.08676848031082,2613,14688,17301,1483,7862,1069,0,0,0,0,0,0,0,570,16.7817229436097,08/05/2015 06:08,58.8039358
Wallasey,Lab,65495,43366,179,66.48599129704557,16348,9828,26176,1011,5063,1288,0,0,0,0,0,0,0,0,34.4398985725432,08/05/2015 03:41,99.224357
Walsall North,Lab,67080,36883,137,55.18783542039356,1937,12455,14392,840,8122,529,0,0,0,0,0,0,0,545,39.6096703162308,08/05/2015 04:35,7.0640762
Walsall South,Lab,67743,41838,198,62.05216775164961,6007,13733,19740,676,6540,1149,0,0,0,0,0,0,0,0,27.3381120494155,08/05/2015 04:48,71.0506403
Walthamstow,Lab,67015,41796,181,62.63821532492726,23195,5584,28779,1661,2507,2661,0,0,0,0,0,0,0,604,26.3838263928533,08/05/2015 06:35,100
Wansbeck,Lab,60705,38528,68,63.57960629272712,10881,8386,19267,2407,7014,1454,0,0,0,0,0,0,0,0,23.4091536907222,08/05/2015 13:02,0
Wantage,Con,82931,58320,212,70.57915616596931,21749,31092,9343,7611,7288,2986,0,0,0,0,0,0,0,0,9.34354141791458,08/05/2015 07:12,0
Warley,Lab,63738,37829,209,59.67868461514324,14702,7310,22012,805,6237,1465,0,0,0,0,0,0,0,0,36.0848265365816,08/05/2015 03:33,23.4396757
Warrington North,Lab,72104,45419,201,63.26972151336958,8923,12797,21720,1881,7757,1264,0,0,0,0,0,0,0,0,16.6565987999568,08/05/2015 06:34,79.019772
Warrington South,Con,84767,59353,199,70.25375440914506,2750,25928,23178,3335,4909,1765,0,0,0,0,0,0,0,238,10.9180578500771,08/05/2015 07:27,84.4256443
Warwick And Leamington,Con,71578,50581,213,70.96314510044985,6606,24249,17643,2512,4183,1994,0,0,0,0,0,0,0,0,10.1810508809233,08/05/2015 13:58,0
Washington And Sunderland West,Lab,68190,37257,190,54.91567678545242,13157,7033,20478,993,7321,1091,0,0,0,0,0,0,0,341,25.1900997736846,07/05/2015 23:29,97.4713789
Watford,Con,83535,56149,211,67.4687256838451,9794,24400,14606,10152,5481,1332,0,0,0,0,0,0,0,178,12.6622352407259,08/05/2015 04:39,100
Waveney,Con,80166,52196,143,65.2882768255869,2408,22104,19696,1055,7580,1761,0,0,0,0,0,0,0,0,20.3018391584711,08/05/2015 08:05,69.6544798
Wealden,Con,80236,57017,181,71.28720275188195,22967,32508,6165,5180,9541,3623,0,0,0,0,0,0,0,0,12.2556938632773,08/05/2015 05:09,0
Weaver Vale,Con,68407,46867,77,68.62455596649465,806,20227,19421,1395,4547,1183,0,0,0,0,0,0,0,94,12.0825285116831,08/05/2015 06:46,31.8787592
Wellingborough,Con,74317,50430,239,68.17955514888922,16397,26265,9839,2240,9868,2218,0,0,0,0,0,0,0,0,16.6430229748319,08/05/2015 04:41,0
Wells,Con,79405,56904,182,71.89219822429318,7585,26247,3780,18662,5644,2331,0,0,0,0,0,0,0,240,14.2882576334024,08/05/2015 11:26,0
Welwyn Hatfield,Con,73247,50205,171,68.77551299029312,12153,25281,13128,3140,6556,1742,0,0,0,0,0,0,0,358,12.3423174818036,08/05/2015 06:03,0
Wentworth And Dearne,Lab,74283,43189,158,58.35386292960705,13838,6441,24571,1135,10733,0,0,0,0,0,0,0,0,309,28.441944294848,08/05/2015 04:34,19.7072438
West Bromwich East,Lab,63637,37492,141,59.13698005877084,9470,9347,18817,751,7949,628,0,0,0,0,0,0,0,0,32.713979649706,08/05/2015 10:31,71.1379509
West Bromwich West,Lab,65524,35026,130,53.653623099932844,7742,8365,16578,550,8836,697,0,0,0,0,0,0,0,0,35.9085331052822,08/05/2015 03:42,12.0299249
West Dorset,Con,78000,56458,185,72.61923076923077,16130,28329,5633,12199,7055,3242,0,0,0,0,0,0,0,0,16.989108206401,08/05/2015 06:18,0
West Ham,Lab,90640,52793,217,58.48411297440423,27986,8146,36132,1430,3950,2651,0,0,0,0,0,0,0,484,31.6424864458116,08/05/2015 04:34,100
West Lancashire,Lab,70906,49676,117,70.22395848024145,8360,16114,24474,1298,6058,1582,0,0,0,0,0,0,0,150,14.3676971200365,08/05/2015 04:55,8.0600208
West Suffolk,Con,76198,49232,197,64.86915667077876,14984,25684,8604,2465,10700,1779,0,0,0,0,0,0,0,0,16.2700608944286,08/05/2015 04:56,0
West Worcestershire,Con,73394,54100,198,73.98152437528952,22578,30342,7244,5245,7764,3505,0,0,0,0,0,0,0,0,15.5481225255253,08/05/2015 04:32,1.2921989
Westminster North,Lab,62346,39514,186,63.67689988130755,1977,16527,18504,1457,1489,1322,0,0,0,0,0,0,0,215,20.8799874901772,08/05/2015 03:04,100
Westmorland And Lonsdale,LD,65857,48929,123,74.48259106852726,8949,16245,2661,25194,3031,1798,0,0,0,0,0,0,0,0,14.2392035824649,08/05/2015 03:25,0
Weston-Super-Mare,Con,80309,52552,231,65.72488762156172,15609,25203,9594,5486,9366,2592,0,0,0,0,0,0,0,311,14.1702172450692,08/05/2015 07:25,79.5834734
Wigan,Lab,75990,45293,126,59.769706540334255,14236,9389,23625,1255,8818,1273,0,0,0,0,0,0,0,933,19.5437696210343,08/05/2015 03:26,61.7419511
Wimbledon,Con,65853,48422,144,73.74910786144898,12619,25225,12606,6129,2476,1986,0,0,0,0,0,0,0,0,8.81880736241647,08/05/2015 02:55,100
Winchester,Con,74119,55316,165,74.85395107867079,16914,30425,4613,13511,4122,2645,0,0,0,0,0,0,0,0,11.2722017751992,08/05/2015 07:48,21.6697415
Windsor,Con,71538,50160,189,70.38077665017194,25083,31797,6714,4323,4992,1834,0,0,0,0,0,0,0,500,9.12434458507754,08/05/2015 06:47,21.2915101
Wirral South,Lab,56956,41837,143,73.70601868108716,4599,15566,20165,1474,3737,895,0,0,0,0,0,0,0,0,13.4671652417283,08/05/2015 04:37,0.4696125
Wirral West,Lab,55377,41858,150,75.85820828141647,417,18481,18898,1433,2772,0,0,0,0,0,0,0,0,274,14.0395084621776,08/05/2015 05:00,37.4717833
Witham,Con,67090,47168,167,70.55447905798181,19554,27123,7467,2891,7569,2038,0,0,0,0,0,0,0,80,12.6809764719248,08/05/2015 06:18,11.3908873
Witney,Con,79767,58482,188,73.55171938270212,25155,35201,10046,3953,5352,2970,0,0,0,0,0,0,0,960,10.4384685082529,08/05/2015 05:43,0
Woking,Con,74269,51964,149,70.16790316282702,20810,29199,8389,6047,5873,2109,0,0,0,0,0,0,0,347,8.71441329074303,08/05/2015 05:29,82.5209423
Wokingham,Con,77881,55999,166,72.11643404681502,24197,32329,8132,7572,5516,2092,0,0,0,0,0,0,0,358,8.68200176724468,08/05/2015 05:41,33.3888682
Wolverhampton North East,Lab,61065,34003,130,55.896176205682465,5495,10174,15669,935,6524,701,0,0,0,0,0,0,0,0,32.93155591,08/05/2015 05:12,71.6010251
Wolverhampton South East,Lab,62556,34764,138,55.79320928448111,10778,7761,18539,798,7061,605,0,0,0,0,0,0,0,0,36.1160773808666,08/05/2015 05:21,55.6104651
Wolverhampton South West,Lab,60368,40209,139,66.83673469387756,801,16573,17374,845,4310,1058,0,0,0,0,0,0,0,49,22.2834719829559,08/05/2015 05:39,100
Worcester,Con,72461,49723,137,68.80942852016946,5646,22534,16888,1677,6378,2024,0,0,0,0,0,0,0,222,16.5134464878449,08/05/2015 03:05,99.8846958
Workington,Lab,58615,38463,232,66.01552503625352,4686,11596,16282,1708,7538,1149,0,0,0,0,0,0,0,190,19.5345745305437,08/05/2015 05:15,0
Worsley And Eccles South,Lab,72177,42048,136,58.44521107832135,5946,12654,18600,1100,7688,1242,0,0,0,0,0,0,0,764,24.8216177689475,08/05/2015 05:15,23.7618345
Worthing West,Con,75617,50763,193,67.38696324900485,16855,26124,7955,4477,9269,2938,0,0,0,0,0,0,0,0,15.8905876068392,08/05/2015 06:59,79.061634
Wycombe,Con,76371,51439,319,67.77179819565018,14856,26444,11588,4546,5198,3086,0,0,0,0,0,0,0,577,12.3508377530857,08/05/2015 05:06,88.7931188
Wyre And Preston North,Con,70637,49893,190,70.90193524640061,14151,26528,12377,2712,6577,1699,0,0,0,0,0,0,0,0,12.1553404247003,08/05/2015 05:14,6.3132213
Wyre Forest,Con,77407,49440,108,64.00971488366686,12871,22394,9523,1228,7967,1117,0,0,0,0,0,0,0,7211,21.3429556246655,08/05/2015 06:56,0
Wythenshawe And Sale East,Lab,75994,43263,168,57.15056451825144,10569,11124,21693,1927,6354,1658,0,0,0,0,0,0,0,507,33.1261693726468,08/05/2015 04:33,99.9435666
Yeovil,Con,82447,56933,163,69.25176173784371,5313,24178,4053,18865,7646,2191,0,0,0,0,0,0,0,0,16.7117512353246,08/05/2015 05:54,0
York Central,Lab,75351,47677,224,63.5704901063025,6716,13496,20212,3804,4795,4791,0,0,0,0,0,0,0,579,14.787395406139,08/05/2015 08:32,100
York Outer,Con,78561,53903,154,68.80895100622446,13129,26477,13348,6269,5251,2558,0,0,0,0,0,0,0,0,7.07753353642193,08/05/2015 08:38,51.8676495
